"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"UGA","Uganda","UGA.6_1","Bushenyi","UGA.6.5_1","Sheema",218195.175247192,0.0306858981167007,0.121563346792342,0.847750755090957,0.0234002875326648,0.10758090703854,0.869018805428796,2020
"UGA","Uganda","UGA.7_1","Busia","UGA.7.1_1","Samia-Bugwe",301805.23658371,0.584296903198709,0.17907005430668,0.236633042494611,0.591402561671211,0.172781656064987,0.235815782263801,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.1_1","Aswa",155568.612575054,0.875527014292301,0.0873634145355508,0.0371095711721485,0.886593322439932,0.0718369235021068,0.0415697540579612,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.2_1","Gulu",150528.926696777,0.957116707804218,0.0211484568353062,0.0217348353604762,0.967016836369447,0.0159508117158475,0.0170323519147058,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.3_1","Kilak",221611.934524775,0.859644388843387,0.106179947505462,0.0341756636511514,0.856576035957959,0.0944322706931618,0.0489916933488794,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.4_1","Nwoya",260293.434189513,0.774322093405392,0.135786901792872,0.0898910048017367,0.722573746041306,0.192267757860866,0.0851584960978281,2020
"UGA","Uganda","UGA.8_1","Gulu","UGA.8.5_1","Omoro",232168.190319061,0.867828955165367,0.102410766246157,0.0297602785884766,0.883355408430605,0.0860795817508491,0.0305650098185458,2020
"UGA","Uganda","UGA.9_1","Hoima","UGA.9.1_1","Bugahya",371742.9820292,0.894288172837598,0.0891752790301229,0.0165365481322794,0.901073308584006,0.0827570368259319,0.0161696545900617,2020
"UGA","Uganda","UGA.9_1","Hoima","UGA.9.2_1","Buhaguzi",347246.090479076,0.56851420731513,0.221982245726243,0.209503546958626,0.627448501370807,0.202415956133811,0.170135542495382,2020
"UGA","Uganda","UGA.10_1","Iganga","UGA.10.1_1","Bugweri",185343.05557251,0.597161162221467,0.217596333732836,0.185242504045697,0.605951809178614,0.214643126656834,0.179405064164552,2020
"UGA","Uganda","UGA.10_1","Iganga","UGA.10.2_1","Busiki",307767.889417648,0.724976448570456,0.185036262927465,0.0899872885020794,0.720925537806042,0.197022453916924,0.0820520082770342,2020
"UGA","Uganda","UGA.10_1","Iganga","UGA.10.3_1","Kigulu",431393.223526001,0.754571944102219,0.155893303296766,0.089534752601015,0.721890562914369,0.157807885579471,0.12030155150616,2020
"UGA","Uganda","UGA.10_1","Iganga","UGA.10.4_1","Luuka",259638.841583252,0.770793499523888,0.16281800379685,0.0663884966792629,0.762770489607602,0.167003030496215,0.0702264798961826,2020
"UGA","Uganda","UGA.11_1","Jinja","UGA.11.1_1","Butembe",144719.79284668,0.510271202978376,0.208401794230763,0.281327002790861,0.535096199154685,0.214742255921091,0.250161544924224,2020
"UGA","Uganda","UGA.11_1","Jinja","UGA.11.2_1","Jinja",156676.720996857,0.613314188035868,0.223411126320833,0.163274685643299,0.616257848501864,0.227043992018908,0.156698159479228,2020
"UGA","Uganda","UGA.11_1","Jinja","UGA.11.3_1","Kagoma",228003.895782471,0.654699251468849,0.170184888337352,0.175115860193799,0.652547858878191,0.166514045552875,0.180938095568934,2020
"UGA","Uganda","UGA.12_1","Kabale","UGA.12.1_1","Kabale",54313.2993164062,0.389786367503825,0.547550947992299,0.0626626845038756,0.415955162476959,0.517175215373426,0.0668696221496156,2020
"UGA","Uganda","UGA.12_1","Kabale","UGA.12.2_1","Ndorwa",185844.267256021,0.464450511460205,0.535549488539795,0,0.503175818620291,0.496824181379709,0,2020
"UGA","Uganda","UGA.12_1","Kabale","UGA.12.3_1","Rubanda",202310.621693134,0.0672793370966184,0.837242413426094,0.0954782494772874,0.0580018228904026,0.853624649692364,0.0883735274172331,2020
"UGA","Uganda","UGA.12_1","Kabale","UGA.12.4_1","Rukiga",134053.125549316,0.353545986413612,0.646454013586388,0,0.348254802471547,0.651745197528453,0,2020
