"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","ITN_coverage_mean","ITN_coverage_pop_weighted"
"UGA","Uganda","UGA.47_1","Nebbi","UGA.47.3_1","Padyere",291514.594324112,0.737484598413427,0.733798648324807
"UGA","Uganda","UGA.48_1","Ntungamo","UGA.48.1_1","Kajara",132562.721107483,0.756028614938259,0.755445630965501
"UGA","Uganda","UGA.48_1","Ntungamo","UGA.48.2_1","Ruhaama",285765.437374115,0.7363336645827,0.739145075546346
"UGA","Uganda","UGA.48_1","Ntungamo","UGA.48.3_1","Rushenyi",135961.108066559,0.759575128555298,0.758688084863263
"UGA","Uganda","UGA.49_1","Pader","UGA.49.1_1","Agago",255176.963568687,0.649188674358,0.656729212011995
"UGA","Uganda","UGA.49_1","Pader","UGA.49.2_1","Aruu",207464.224841118,0.666421456050269,0.661241022903817
"UGA","Uganda","UGA.50_1","Pallisa","UGA.50.1_1","Budaka",262732.230651855,0.746587172150612,0.747301817596365
"UGA","Uganda","UGA.50_1","Pallisa","UGA.50.2_1","Butebo",150318.636932373,0.75469801059136,0.754526591370755
"UGA","Uganda","UGA.50_1","Pallisa","UGA.50.3_1","Kibuku",247145.128295898,0.70414079319347,0.704319833927303
"UGA","Uganda","UGA.50_1","Pallisa","UGA.50.4_1","Pallisa",303740.585257292,0.709050274208972,0.703515594888641
"UGA","Uganda","UGA.51_1","Rakai","UGA.51.1_1","Kabula",104633.177044868,0.676153852045536,0.683164379880698
"UGA","Uganda","UGA.51_1","Rakai","UGA.51.2_1","Kakuuto",139173.109957457,0.652885055541992,0.661086220069879
"UGA","Uganda","UGA.51_1","Rakai","UGA.51.3_1","Kooki",270791.585326254,0.698694942427463,0.696503206608581
"UGA","Uganda","UGA.51_1","Rakai","UGA.51.4_1","Kyotera",179002.967247963,0.686082793248666,0.692779459252468
"UGA","Uganda","UGA.52_1","Rukungiri","UGA.52.1_1","Bufumbira",210433.014733434,0.751227037264751,0.767182156706917
"UGA","Uganda","UGA.52_1","Rukungiri","UGA.52.2_1","Rubabo",140619.661766052,0.739571327254886,0.738567794973109
"UGA","Uganda","UGA.53_1","Sembabule","UGA.53.1_1","Lwemiyaga",73403.3507728577,0.689391116301219,0.694208219081299
"UGA","Uganda","UGA.53_1","Sembabule","UGA.53.2_1","Mawogola",213054.553197861,0.675461299383818,0.677269780943049
"UGA","Uganda","UGA.54_1","Sironko","UGA.54.1_1","Budadiri",266697.358970642,0.833272635936737,0.837556864916347
"UGA","Uganda","UGA.54_1","Sironko","UGA.54.2_1","Bulambuli",196200.067717552,0.821249035497506,0.834790815931917
"UGA","Uganda","UGA.54_1","Sironko","UGA.54.3_1","Mt. Elgon Np",51752.5894126892,0.644429171085358,0.679782544139713
"UGA","Uganda","UGA.55_1","Soroti","UGA.55.1_1","Kasilo",162910.62990737,0.701575235887007,0.749276447629638
"UGA","Uganda","UGA.55_1","Soroti","UGA.55.2_1","Serere",188948.942622662,0.765547432218279,0.765575960926496
"UGA","Uganda","UGA.55_1","Soroti","UGA.55.4_1","Soroti",342823.124442697,0.767604818984644,0.772993673027396
"UGA","Uganda","UGA.55_1","Soroti","UGA.55.3_1","Soroti  (Municipality)",32005.3143615723,0.795299410820007,0.795299410820007
"UGA","Uganda","UGA.56_1","Tororo","UGA.56.1_1","Bunyole",298021.758384705,0.723749643564224,0.72844341136545
"UGA","Uganda","UGA.56_1","Tororo","UGA.56.2_1","Kisoko (West Budama)",343105.040176392,0.718385640117857,0.718777336479328
"UGA","Uganda","UGA.56_1","Tororo","UGA.56.4_1","Tororo",213232.355300903,0.746369854400032,0.722863612240391
"UGA","Uganda","UGA.56_1","Tororo","UGA.56.3_1","Tororo (Municipality)",59738.4347229004,0.74478143453598,0.744782285143868
"UGA","Uganda","UGA.57_1","Wakiso","UGA.57.1_1","Busiiro",1367619.47257078,0.667330641238416,0.679430922544095
"UGA","Uganda","UGA.57_1","Wakiso","UGA.57.2_1","Entebbe",117498.95704174,0.71448407570521,0.716774807088132
"UGA","Uganda","UGA.57_1","Wakiso","UGA.57.3_1","Jinja",1327829.53001404,0.66937575340271,0.689826571372635
"UGA","Uganda","UGA.58_1","Yumbe","UGA.58.1_1","Aringa",659563.885356903,0.709128747099922,0.696702843834045
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.1_1","Alfred Nzo",828091.972678844,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.2_1","Amathole",828890.049575003,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.3_1","Buffalo City",798006.887737072,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.4_1","Cacadu",507463.058840477,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.5_1","Chris Hani",792466.222308377,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.6_1","Joe Gqabi",349647.872530324,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.7_1","Nelson Mandela Bay",1286317.58137045,0,0
"ZAF","South Africa","ZAF.1_1","Eastern Cape","ZAF.1.8_1","O.R.Tambo",1428581.11063559,0,0
"ZAF","South Africa","ZAF.2_1","Free State","ZAF.2.1_1","Fezile Dabi",517801.71726543,0,0
"ZAF","South Africa","ZAF.2_1","Free State","ZAF.2.2_1","Lejweleputswa",613296.915586033,0,0
"ZAF","South Africa","ZAF.2_1","Free State","ZAF.2.3_1","Mangaung",852372.290482088,0,0
"ZAF","South Africa","ZAF.2_1","Free State","ZAF.2.4_1","Thabo Mofutsanyane",701398.761720061,0,0
"ZAF","South Africa","ZAF.2_1","Free State","ZAF.2.5_1","Xhariep",138583.339327502,0,0
"ZAF","South Africa","ZAF.3_1","Gauteng","ZAF.3.1_1","City of Johannesburg",5290104.43831441,0,0
"ZAF","South Africa","ZAF.3_1","Gauteng","ZAF.3.2_1","City of Tshwane",3998268.47754743,0,0
"ZAF","South Africa","ZAF.3_1","Gauteng","ZAF.3.3_1","Ekurhuleni",4299244.41052301,0,0
"ZAF","South Africa","ZAF.3_1","Gauteng","ZAF.3.4_1","Sedibeng",1090798.09043053,0,0
"ZAF","South Africa","ZAF.3_1","Gauteng","ZAF.3.5_1","West Rand",1029215.31092243,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.1_1","Amajuba",536527.667043717,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.2_1","eThekwini",3667761.02265138,0,0
"ZAF","South Africa","ZAF.4_1","KwaZulu-Natal","ZAF.4.3_1","iLembe",678972.554139972,0,0
