"GID_0","NAME_0","GID_1","NAME_1","GID_2","NAME_2","population","arab_abundance","fun_abundance","gamb_abundance","arab_pop_weighted_abundance","fun_pop_weighted_abundance","gamb_pop_weighted_abundance","year"
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.6_1","Sablale",63996.9265108109,0.95644638102663,0.0435536189733701,0,0.960590898337203,0.0394091016627974,0,2020
"SOM","Somalia","SOM.15_1","Shabeellaha Hoose","SOM.15.7_1","Wanla Weyn",226782.385335445,0.999851615816716,0.000148384183283943,0,0.999834996905233,0.000165003094767092,0,2020
"SOM","Somalia","SOM.16_1","Sool","SOM.16.1_1","Caynabo",45316.7806347609,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.16_1","Sool","SOM.16.2_1","Lascaanod",108169.180753946,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.16_1","Sool","SOM.16.3_1","Taleex",38138.1534528732,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.16_1","Sool","SOM.16.4_1","Xudun",28801.2198139429,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.17_1","Togdheer","SOM.17.1_1","Burao",433264.649555683,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.17_1","Togdheer","SOM.17.2_1","Buuhoodle",57476.3283667564,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.17_1","Togdheer","SOM.17.3_1","Oodweyne",65588.4354548454,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.17_1","Togdheer","SOM.17.4_1","Sheekh",49943.675766468,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.18_1","Woqooyi Galbeed","SOM.18.1_1","Berbera",87159.4091668129,1,0,0,1,0,0,2020
"SOM","Somalia","SOM.18_1","Woqooyi Galbeed","SOM.18.2_1","Gabiley",119615.748401642,0.999585851407005,0.000414148592995279,0,0.999519001808855,0.000480998191145207,0,2020
"SOM","Somalia","SOM.18_1","Woqooyi Galbeed","SOM.18.3_1","Hargeysa",821370.122853518,1,0,0,1,0,0,2020
"SSD","South Sudan","SSD.1_1","Central Equatoria","SSD.1.1_1","Bahr al Jabal",646033.57264185,0.952787701461946,0.047212298538054,0,0.950020572578466,0.0499794274215341,0,2020
"SSD","South Sudan","SSD.1_1","Central Equatoria","SSD.1.2_1","Kajo Kaii",272376.745251656,0.919679325581844,0.0797105416342243,0.000610132783931958,0.912171859932636,0.087290181570373,0.000537958496991524,2020
"SSD","South Sudan","SSD.1_1","Central Equatoria","SSD.1.3_1","Nahr Yei",714349.730103731,0.847876422289255,0.119681997706843,0.0324415800039014,0.844526042313518,0.122399987516622,0.0330739701698596,2020
"SSD","South Sudan","SSD.1_1","Central Equatoria","SSD.1.4_1","Terkaka",253096.032134056,0.940022393976622,0.0599776060233781,0,0.940513722230661,0.0594862777693393,0,2020
"SSD","South Sudan","SSD.2_1","Eastern Equatoria","SSD.2.1_1","Amatonge",1952903.31981087,0.908290050281808,0.0917099497181915,0,0.844637961339477,0.155362038660523,0,2020
"SSD","South Sudan","SSD.2_1","Eastern Equatoria","SSD.2.2_1","Kapoeta",1973008.06220731,0.995995925969014,0.00400407403098595,0,0.996091593490325,0.00390840650967486,0,2020
"SSD","South Sudan","SSD.2_1","Eastern Equatoria","SSD.2.3_1","Magwi",1067253.53266144,0.905268109648115,0.0947318903518848,0,0.902314502735755,0.0976854972642454,0,2020
"SSD","South Sudan","SSD.2_1","Eastern Equatoria","SSD.2.4_1","Shokodom",1163620.49283028,0.982099550086883,0.0179004499131172,0,0.983505802430934,0.0164941975690663,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.1_1","Akobo",350123.656312883,0.877660685969382,0.122339314030618,0,0.858260276593911,0.141739723406089,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.2_1","Ayod",319387.228880987,0.932324602930481,0.0676753970695187,0,0.939964146195179,0.0600358538048212,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.3_1","Bor",214786.347942948,0.901347568117926,0.0986524318820736,0,0.897312209643302,0.102687790356698,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.4_1","Fam al Zaraf",195752.198925123,0.925851534429738,0.0741484655702622,0,0.928923060917784,0.0710769390822156,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.5_1","Nahr Atiem",269530.81669426,0.96320959646944,0.0367904035305599,0,0.964364986420346,0.0356350135796542,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.6_1","Pibor",402893.610428154,0.956275604542227,0.0437243954577731,0,0.956805399383422,0.0431946006165782,0,2020
"SSD","South Sudan","SSD.3_1","Jungoli","SSD.3.7_1","Wat",315555.08825779,0.963452691605821,0.0365473083941791,0,0.96306071056465,0.0369392894353502,0,2020
"SSD","South Sudan","SSD.4_1","Lakes","SSD.4.1_1","Aliab",61190.5148999691,0.927270856887507,0.0727291431124933,0,0.913986070878112,0.0860139291218883,0,2020
"SSD","South Sudan","SSD.4_1","Lakes","SSD.4.2_1","Rumbek",408480.405839562,0.831733958097865,0.168266041902135,0,0.878648493306805,0.121351506693195,0,2020
"SSD","South Sudan","SSD.4_1","Lakes","SSD.4.3_1","Shobet",190679.566010952,0.940973612553209,0.0590263874467915,0,0.927997173502459,0.0720028264975412,0,2020
"SSD","South Sudan","SSD.4_1","Lakes","SSD.4.4_1","Yerol",240183.394708075,0.809714773689255,0.190285226310745,0,0.816886780696154,0.183113219303847,0,2020
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal","SSD.5.1_1","Aryat",75701.7153024673,0.91234852443361,0.0876514755663894,0,0.909873611581173,0.0901263884188271,0,2020
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal","SSD.5.2_1","Aweil",286431.128412664,0.928217823785836,0.0712758869197244,0.000506289294440052,0.914168817827417,0.0857699306410419,6.12515315415188e-05,2020
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal","SSD.5.3_1","Nahr Lol",245311.871226788,0.931139531309059,0.0688604686909413,0,0.929700989636341,0.0702990103636586,0,2020
"SSD","South Sudan","SSD.5_1","North Bahr-al-Ghazal","SSD.5.4_1","Wanjuk",254260.321209908,0.916937240449977,0.0830627595500228,0,0.915824727812197,0.0841752721878032,0,2020
"SSD","South Sudan","SSD.6_1","Unity","SSD.6.1_1","Al Leiri",346562.209084041,0.952713785149624,0.0472862148503761,0,0.966538732812938,0.0334612671870615,0,2020
"SSD","South Sudan","SSD.6_1","Unity","SSD.6.2_1","Al Mayom",216503.583983421,0.946456708218979,0.0535432917810208,0,0.944028816099576,0.0559711839004236,0,2020
"SSD","South Sudan","SSD.6_1","Unity","SSD.6.3_1","Faring",50684.6881625652,0.960589061810116,0.0394109381898838,0,0.962985166837532,0.0370148331624685,0,2020
"SSD","South Sudan","SSD.6_1","Unity","SSD.6.4_1","Rabkona",342081.743350044,0.973091449536566,0.026908550463434,0,0.971513640411465,0.0284863595885347,0,2020
"SSD","South Sudan","SSD.7_1","Upper Nile","SSD.7.1_1","Al Mabien",53489.7845380306,0.967069666625806,0.032930333374194,0,0.966980656182878,0.0330193438171216,0,2020
